Province/State,Country,Date,N,varN,C,varC,R,varR,D,varD,M,varM 
,US,2020-03-20,24739.81110668023,16108.162036672258-37564.36050761317,1226.624938131083,795.0424846306842-1867.8524081777298,315.20634621209643,131.1878221930208-734.739826453355,8.528137263940495,1.1640370602221572e-08-1478505.6879614631,0.01274085500705317,0.0034923480772801377-0.04561289020936264
,US,2020-03-21,34024.91128007577,22344.727844224577-51219.97622844502,1686.9876194834103,1102.9784476908505-2546.740866901873,407.75291470227074,171.24096624560516-941.9400531806027,8.767059660043085,1.2135022568694132e-08-1498352.5192342966,0.011983952326748365,0.0033432457188550292-0.04215491277169729
,US,2020-03-22,46792.310312489615,30994.748798746543-69834.46056142583,2320.0036693486504,1530.1255936614969-3472.111181795461,527.4715195609392,223.52275196654702-1207.5706795868894,9.01267565191354,1.2650694533266101e-08-1518459.4411670624,0.011272611162782203,0.0032007514652445577-0.03896049254755453
,US,2020-03-23,64345.7942356105,42991.13812203955-95204.01509811156,3190.3135738475744,2122.580768169027-4733.224616972628,682.3398300055702,291.76668150836986-1548.1083663732074,9.265172765763387,1.3188279730676347e-08-1538829.6914146522,0.010604264631610485,0.003064646813558153-0.03600994144371267
,US,2020-03-24,88475.31406984369,59626.44764426836-129771.5587344771,4386.659997455189,2944.216676176423-6451.472230686861,882.6776476761594,380.8461044135645-1984.6755452488494,9.524743781491585,1.3748709353245596e-08-1559466.5433224465,0.00997654155801426,0.002934742466897587-0.03328515488780134
,US,2020-03-25,121636.51100135155,82690.60790128732-176856.23228672214,6030.786671805567,4083.4915168023545-8791.772736074096,1141.8344571661075,497.12220126258995-2544.350056490069,9.791586879870367,1.4332954163865682e-08-1580373.3061932097,0.00938726742296497,0.0028108831384389527-0.03076951689032702
,US,2020-03-26,167194.96943817326,114660.5908988824-240961.4843671535,8289.544635164855,5662.825708200312-11977.870381613866,1477.0787671255734,648.8981928889771-3261.843786920679,10.065905793854625,1.4942026177531992e-08-1601553.325552249,0.00883446895614751,0.00269295399882352-0.028447819441269534
,US,2020-03-27,229757.14079025137,158960.80045704157-328186.18265268224,11391.292067448321,7851.475050787831-16312.744160569864,1910.748435522228,847.0121943874608-4181.6541580078865,10.347909964130139,1.5576980414331696e-08-1623009.9834106967,0.00831638324254121,0.0025808892609103214-0.02630619716297893
,US,2020-03-28,315616.0636106315,220319.09169340294-446768.6478555162,15647.979020878991,10883.13042501756-22205.608233123225,2471.7385161620327,1105.6110221613537-5360.821464117863,10.637814699019916,1.6238916726925085e-08-1644746.6985267622,0.007831472479206132,0.002474683546995235-0.024332078636099347
,France,2020-01-22,0.5256230378034883,0.2015241645599119-1.341323530027623,0.026281151890174416,0.010076208227995596-0.06706617650138115,2.848397849478025e-05,2.686562784856595e-06-0.00027875166056824565,1.045870799761567e-130,8.972917878265555e-166-4.201829100439549e-96,5.419088671191272e-05,2.0029192992694824e-06-0.0013832170508037238
,France,2020-01-23,0.6269574321626358,0.24204524424820575-1.5888812577007865,0.03134787160813179,0.012102262212410288-0.07944406288503933,3.800496601552196e-05,3.649786296463824e-06-0.00036528044234574987,1.9019987308196086e-128,5.907228996841367e-163-2.1108269995303914e-94,6.0618096326615183e-05,2.2970793309912282e-06-0.0015091411668934605
,France,2020-01-24,0.7478279924970963,0.29071402109759814-1.8821287973764629,0.03739139962485482,0.014535701054879908-0.09410643986882315,5.070841638591028e-05,4.9583579750829545e-06-0.0004786690823223709,3.458935054754691e-126,3.8889639796715313e-160-1.060393108677452e-92,6.780759331646331e-05,2.634441374041197e-06-0.001646529054619188
,France,2020-01-25,0.8920010780644091,0.3491687773643647-2.229498761115726,0.04460005390322046,0.017458438868218237-0.1114749380557863,6.765809213763989e-05,6.736096804595951e-06-0.0006272552915763997,6.290346843636017e-124,2.5602597839476947e-157-5.326981060886363e-91,7.584978740659602e-05,3.0213503241531078e-06-0.00179642434329644
,France,2020-01-26,1.0639691608234338,0.41937720966763614-2.6409801013405123,0.053198458041171695,0.02096886048338181-0.13204900506702563,9.027332655916549e-05,9.151215057264227e-06-0.0008219649343139753,1.1439493019346546e-121,1.6855209242265948e-154-2.676057302789884e-89,8.484581121627677e-05,3.465082926077043e-06-0.0019599656713949645
,France,2020-01-27,1.2690908119063382,0.5037026653152467-3.1284053518159154,0.06345454059531691,0.025185133265762334-0.15642026759079578,0.00012044787593884076,1.243223478723705e-05-0.0010771154302114617,2.080362240630335e-119,1.109645514809818e-151-1.344341683584489e-87,9.49087920334972e-05,3.973984630866531e-06-0.0021383953359415714
,France,2020-01-28,1.5137576758943196,0.6049836969578587-3.7057908821762466,0.07568788379471598,0.030249184847892935-0.18528954410881235,0.0001607084990787296,1.688961092464803e-05-0.0014114685451406348,3.783303197895954e-117,7.305238106744577e-149-6.753422508324853e-86,0.0001061652744279456,4.557626553047567e-06-0.0023330687293528067
,France,2020-01-29,1.8055936358246536,0.7266296135228999-4.389739950170478,0.09027968179123269,0.036331480676144993-0.2194869975085239,0.00021442654322294778,2.294510697938261e-05-0.0018496099842473385,6.880235954904521e-115,4.809329023006288e-146-3.392643115427309e-84,0.00011875681159288898,5.226985479741579e-06-0.0025454646353868255
,France,2020-01-30,2.1536923749132075,0.8727352438412972-5.1999201415415675,0.10768461874566038,0.04363676219206486-0.2599960070770784,0.00028610025419972666,3.1171702926969734e-05-0.0024237572318353434,1.2512253001949352e-112,3.166172726139635e-143-1.7043250728749846e-82,0.00013284174542859507,5.994650317404409e-06-0.0027771964624315
,France,2020-01-31,2.5689007374062114,1.048218776110494-6.159628926444306,0.12844503687031059,0.0524109388055247-0.3079814463222153,0.00038173145088616977,4.234781141966931e-05-0.0031761285724171244,2.275452124184774e-110,2.084417531800336e-140-8.561831749474971e-81,0.00014859719775377523,6.8750588591243135e-06-0.003030024499467967
,France,2020-02-01,3.064156718056936,1.258987313106244-7.296463595044445,0.1532078359028468,0.0629493656553122-0.3648231797522223,0.0005093281059917765,5.753093234068208e-05-0.00416204749215325,4.138089573996023e-108,1.372255029236438e-137-4.30111391735024e-79,0.00016622129768700448,7.8847693257533e-06-0.003305869287820235
,France,2020-02-02,3.654892611920452,1.5121357160097764-8.643114836271744,0.1827446305960226,0.07560678580048882-0.43215574181358724,0.0006795749183100445,7.815771500412176e-05-0.005454010734005156,7.525443027526014e-106,9.034101069176686e-135-2.1607036287718318e-77,0.0001859356732106457,9.042771788259096e-06-0.0036068262102803834
